,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1
59204,3.0,2.0,64.0,59.5,-0.25097192331357054
59205,1.0,1.0,40.0,35.0,-2.0173284443469304
59206,1.0,1.0,46.0,37.0,-1.8311866949312343
59207,3.0,2.0,79.0,79.0,-0.032107482912661876
59208,3.0,2.0,39.0,38.0,-0.8191173814973318
59209,1.0,1.0,33.0,30.0,-2.1122670530193344
59210,2.0,1.0,47.0,47.0,-1.4526380250969695
59211,3.0,2.0,68.0,63.0,-0.010042668506745997
59212,1.0,1.0,42.6,30.0,-2.1586300660422895
59213,1.0,1.0,36.0,31.0,-2.1765038743625125
59214,1.0,1.0,38.0,35.0,-2.0864691534843383
59215,3.0,2.0,127.0,127.0,2.9250886916494627
59216,2.0,1.0,44.0,41.0,-1.476875532472169
59217,3.0,2.0,75.0,75.0,0.3389037767572999
59218,2.0,1.0,40.0,35.0,-1.6210124113328768
59219,2.0,1.0,35.0,35.0,-1.7224509074838976
59220,3.0,2.0,70.0,67.0,-0.013026751958494865
59221,2.0,1.0,41.0,38.0,-1.6286450537962764
59222,7.0,4.0,164.0,94.0,4.596749426757579
59223,2.0,1.0,87.0,47.0,-0.6332277530581012
59224,2.0,1.0,62.0,57.0,-1.0061196711602312
59225,1.0,1.0,63.0,31.0,-1.8402897421448299
59226,2.0,1.0,58.0,50.0,-1.2814073870855307
59227,4.0,3.0,87.0,77.0,1.5014240998492898
59228,4.0,3.0,100.0,93.0,1.969616243045862
59229,4.0,3.0,86.0,77.0,1.1222831568377551
59230,5.0,4.0,145.0,88.0,2.902251334235437
59231,4.0,3.0,64.0,60.0,0.8515784227565911
59232,3.0,2.0,69.0,62.6,0.07971729272044033
59233,6.0,4.0,180.0,130.0,4.480784298860129
59234,4.0,3.0,94.0,85.0,1.5189423290392041
59235,3.0,3.0,66.0,66.0,0.39019453231095996
59236,3.0,2.0,62.0,57.0,-0.11715668885321505
59237,1.0,1.0,26.0,26.0,-2.4487084637699823
59238,1.0,1.0,37.0,34.0,-2.154584849269879
59239,4.0,3.0,188.0,125.0,3.331771381115923
59240,2.0,1.0,48.0,45.0,-1.482900513049827
59241,3.0,2.0,76.0,71.0,0.4768065167858134
59242,2.0,1.0,58.0,45.0,-1.1115185513321562
59243,2.0,1.0,32.0,32.0,-1.8142978288221898
59244,3.0,2.0,196.0,141.0,2.9893213051731453
59245,3.0,2.0,57.0,53.0,-0.10145695266938122
59246,2.0,1.0,31.2,28.0,-2.0406251206656703
59247,4.0,3.0,117.0,71.0,1.8178990334017537
59248,2.0,1.0,81.0,44.0,-1.049463977967704
59249,2.0,1.0,51.0,40.0,-1.5513376514198056
59250,5.0,4.0,140.0,140.0,4.153065482112026
59251,3.0,2.0,74.0,67.0,0.10376065538462231
59252,4.0,3.0,107.0,94.0,1.657606477727822
59253,2.0,1.0,31.0,30.0,-1.982798168757888
59254,2.0,1.0,40.0,35.0,-1.6308797630569412
59255,1.0,1.0,38.0,38.0,-2.0677312242809824
59256,2.0,1.0,48.0,48.0,-1.3555237949227694
59257,2.0,1.0,40.0,40.0,-1.685379576260807
59258,3.0,2.0,79.0,62.0,-0.0758579768971202
59259,2.0,1.0,72.0,36.0,-1.2627121876789373
59260,2.0,1.0,70.0,53.0,-1.033361595210356
59261,4.0,3.0,155.0,131.0,2.9838769910108236
59262,2.0,1.0,49.0,44.0,-1.4673973636438917
59263,4.0,3.0,97.0,88.0,1.9434311011581038
