,property_rooms,property_bedrooms,property_surface_total,property_surface_covered,cp_1,tiene_cochera,tiene_parrilla,tiene_pileta,tiene_terraza,expensas
40750,3.0,2.0,160.0,160.0,2.5920752488750813,0,1,0,1,
40751,2.0,1.0,50.0,50.0,-1.2941633841687077,0,1,0,0,
40752,2.0,1.0,66.0,48.0,-1.3318545297866369,0,0,0,0,
40753,3.0,2.0,140.0,100.0,1.3817966106640809,0,1,0,1,
40754,1.0,1.0,50.0,44.0,-1.7177769831073446,1,1,0,0,Con expensas
40755,3.0,2.0,55.0,55.0,-0.4234202024197773,0,0,0,0,
40756,1.0,1.0,30.0,30.0,-2.3209390823261598,1,1,1,1,Con expensas
40757,3.0,2.0,77.0,68.0,0.2492663669076169,0,0,0,1,Bajas expensas
40758,3.0,2.0,51.0,46.0,-0.6350285593593639,1,0,0,0,Con expensas
40759,3.0,2.0,64.0,59.0,-0.1559336420199288,0,0,0,1,Bajas expensas
40760,1.0,1.0,29.0,24.0,-2.49718417653223,0,0,0,0,
40761,4.0,3.0,204.0,157.0,4.97585147573246,1,1,1,1,
40762,3.0,2.0,55.0,55.0,-0.3021587749191601,0,0,0,0,Bajas expensas
40763,3.0,2.0,71.0,65.0,0.5623263735707311,1,1,1,0,Con expensas
40764,2.0,1.0,71.0,40.0,-1.3193130145093788,0,0,0,0,Con expensas
40765,4.0,3.0,90.0,85.0,1.5427916040451126,1,0,0,1,Con expensas
40766,1.0,1.0,35.0,32.0,-2.203282926742772,0,0,0,1,
40767,2.0,1.0,63.0,52.0,-1.0479098312758035,1,1,0,1,
40768,2.0,1.0,84.0,64.0,-0.3293634777562225,1,1,1,1,Bajas expensas
40769,2.0,1.0,35.0,35.0,-1.834040392598274,0,0,0,0,
40770,1.0,1.0,32.0,28.0,-2.240168352524663,0,1,1,0,Con expensas
40771,4.0,3.0,115.5,98.0,1.9646300849917795,1,0,0,1,
40772,2.0,1.0,46.1,34.0,-1.665887801848047,0,0,0,1,
40773,3.0,2.0,90.0,90.0,0.7685747627125096,0,0,0,0,
40774,4.0,3.0,60.0,60.0,0.4016682026387351,0,0,0,0,Bajas expensas
40775,2.0,1.0,67.7,47.0,-1.0947404639354803,1,1,1,1,
40776,1.0,1.0,43.0,41.0,-1.6790351271456845,0,0,0,0,
40777,4.0,3.0,80.0,80.0,1.3518107875158878,0,0,0,0,
40778,1.0,1.0,36.0,32.0,-2.1783736016130004,0,0,0,0,
40779,4.0,3.0,96.0,87.0,1.7009030271323389,0,0,0,0,Con expensas
40780,2.0,1.0,47.0,47.0,-1.285859341216487,0,0,0,1,
40781,2.0,1.0,42.0,42.0,-1.591353520608342,0,0,0,0,Con expensas
40782,1.0,1.0,30.0,26.0,-2.533501369246152,1,1,1,1,
40783,3.0,2.0,57.0,49.0,-0.2923752266019794,0,0,0,0,Con expensas
40784,2.0,1.0,45.0,45.0,-1.609355007487617,0,1,0,1,
40785,4.0,3.0,93.0,84.0,1.3425791571880716,0,0,0,1,Sin expensas
40786,2.0,1.0,48.0,32.0,-1.684363449286385,0,0,0,1,
40787,3.0,2.0,64.0,62.0,-0.0246610626477668,0,0,0,0,
40788,3.0,2.0,76.0,66.0,0.181735205969806,1,1,1,0,
40789,2.0,1.0,56.0,53.0,-1.0381799112030776,0,0,0,0,Con expensas
40790,3.0,2.0,155.0,75.0,1.0250945778780174,0,0,0,1,
40791,3.0,2.0,77.0,67.0,0.2178114064830765,1,0,1,1,
40792,1.0,1.0,75.0,43.0,-1.6173738658315606,0,1,0,0,
40793,2.0,1.0,112.0,65.0,-0.1345376336193624,1,1,0,1,
40794,3.0,2.0,108.0,73.0,0.967888363336102,1,1,0,0,
40795,3.0,2.0,85.0,70.9,0.5423079045620505,0,0,0,0,
40796,3.0,2.0,64.0,56.0,-0.2022699309391638,0,0,0,0,Con expensas
40797,2.0,1.0,92.0,45.0,-0.8502841823160111,1,1,0,1,
40798,5.0,3.0,160.0,138.0,3.6433685920305954,0,1,0,0,Sin expensas
40799,2.0,1.0,51.0,43.0,-1.333607539103962,0,1,0,0,
